Filename,Number of Sentences,
BASF,607, 
Heidelberg Materials,597, 
Beiersdorf,373, 
Ε.ΟΝ,350, 
Commerzbank,304, 
Daimler Truck,296, 
Allianz,253, 
RWE,227, 
Merck,218, 
Symrise,216, 
Volkswagen,210, 
BMW,210, 
Deutsche Telekom,197, 
Adidas,162, 
Bayer,162, 
Mercedes-Benz,156, 
Qiagen,154, 
MTU Aero Engines,154, 
Brenntag,141, 
Porsche,134, 
Rheinmetall,133, 
Vonovia,132, 
Fresenius,121, 
Zalando,120, 
Münchener Rück,114, 
Siemens Energy,114, 
DHL Group,97, 
Henkel,91, 
Continental,76, 
SAP,74, 
Sartorius,71, 
Infineon,60, 
Siemens,43, 
Deutsche Börse,36, 
Hannover Rück,36, 
Siemens Health,22, 